cam-altitude,cam-heading,cam-latitude,cam-longitude,cam-pitch,cam-roll,cam-yaw,corrected-x,corrected-y,id,image-name,image-time,type,x,y,
0,295.674,48.50859290175139,-71.63516671769321,0,0,0,48.50859628665197,-71.63515300150291,576,images/img576.jpg,14:42:42,2,0.5694444444444444,0.5481481481481482,
0,295.674,48.50859290175139,-71.63516671769321,0,0,0,48.508595147847714,-71.63515394591926,576,images/img576.jpg,14:42:42,nest,0.5666666666666667,0.5398148148148149,
0,289.49,48.508675480261445,-71.63555816933513,0,0,0,48.508664746723106,-71.63547438250893,584,images/img584.jpg,14:42:46,2,0.9055555555555556,0.6416666666666667,
0,289.49,48.508675480261445,-71.63555816933513,0,0,0,48.50866504965919,-71.63547214680277,584,images/img584.jpg,14:42:46,2,0.9125,0.6472222222222223,
0,289.49,48.508675480261445,-71.63555816933513,0,0,0,48.50866515367684,-71.63547290352288,584,images/img584.jpg,14:42:46,nest,0.9097222222222222,0.6462962962962963,
0,291.934,48.50869246199727,-71.63560029678047,0,0,0,48.5086370211294,-71.63556564766917,585,images/img585.jpg,14:42:47,1,0.38819444444444445,0.8324074074074074,
0,291.934,48.50869246199727,-71.63560029678047,0,0,0,48.508636154018205,-71.63556703684912,585,images/img585.jpg,14:42:47,1,0.39652777777777776,0.8351851851851851,
0,291.934,48.50869246199727,-71.63560029678047,0,0,0,48.50863624500561,-71.63556651560874,585,images/img585.jpg,14:42:47,nest,0.39375,0.8351851851851851,
0,300.716,48.508810613304384,-71.63585943169892,0,0,0,48.50886617753697,-71.63586796751167,591,images/img591.jpg,14:42:50,1,0.7048611111111112,0.7314814814814815,
0,295.794,48.50918308831751,-71.63679158315063,0,0,0,48.509198636404214,-71.63683343093778,610,images/img610.jpg,14:42:59,1,0.24930555555555556,0.4675925925925926,
0,295.794,48.50918308831751,-71.63679158315063,0,0,0,48.50920011944232,-71.63683309390076,610,images/img610.jpg,14:42:59,1,0.24722222222222223,0.4759259259259259,
0,295.794,48.50918308831751,-71.63679158315063,0,0,0,48.50919949964765,-71.63683296132496,610,images/img610.jpg,14:42:59,nest,0.24930555555555556,0.47314814814814815,
0,301.564,48.50935436412692,-71.63724298216403,0,0,0,48.50939188783223,-71.63716265078108,620,images/img620.jpg,14:43:04,1,0.9090277777777778,0.6768518518518518,
0,301.564,48.50935436412692,-71.63724298216403,0,0,0,48.509391262232285,-71.63716147925096,620,images/img620.jpg,14:43:04,nest,0.9138888888888889,0.6731481481481482,
0,301.564,48.50935436412692,-71.63724298216403,0,0,0,48.509390098444044,-71.63716157572844,620,images/img620.jpg,14:43:04,1,0.9138888888888889,0.6675925925925926,
0,303.278,48.50939734652639,-71.63733295351267,0,0,0,48.50939436816327,-71.63736449210079,622,images/img622.jpg,14:43:05,2,0.5381944444444444,0.3194444444444444,
0,303.278,48.50939734652639,-71.63733295351267,0,0,0,48.50939314665629,-71.63736550451021,622,images/img622.jpg,14:43:05,2,0.5458333333333333,0.3148148148148148,
0,303.278,48.50939734652639,-71.63733295351267,0,0,0,48.50939389372477,-71.63736455320522,622,images/img622.jpg,14:43:05,nest,0.5409722222222222,0.3194444444444444,
0,300.22,48.510343495756395,-71.64104943908751,0,0,0,48.51039168277189,-71.64111441262651,728,images/img728.jpg,14:43:58,2,0.6770833333333334,0.8759259259259259,
0,300.22,48.510343495756395,-71.64104943908751,0,0,0,48.51039067151393,-71.64111494847599,728,images/img728.jpg,14:43:58,2,0.6715277777777777,0.8777777777777778,
0,300.22,48.510343495756395,-71.64104943908751,0,0,0,48.51039109814952,-71.64111490891374,728,images/img728.jpg,14:43:58,nest,0.6736111111111112,0.8777777777777778,
0,304.748,48.51167073659598,-71.6457668915391,0,0,0,48.51168258473938,-71.6457734621121,856,images/img856.jpg,14:45:02,1,0.5402777777777777,0.42962962962962964,
